Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;Randomise questionnaire elements?;Understanding;Reading_Information;Inclusion_Criteria;Withdraw_Keep_Info;Understand_dataprotection;understand_GDPR;Understanding_Not_Identifiable;Use_data_future_research;END QUESTIONNAIRE
1;1719857946500;01/07/2024 18:19:06;1719857946318;1;01/07/2024 19:19:06;74063;40;questionnaire-vlry;;38661390;q34xjpnk;11350721;;rejected - time limit reached;;;mobile;Apple iPhone;iOS 15.6.1;Mobile Safari 15.6.1;414x896;414x719;Social Task Done;;;Consent;4;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;Social Task Done;No;1;1;1;1;1;1;1;1;7423
1;1719863600294;01/07/2024 19:53:20;1719863599944;1;01/07/2024 20:53:19;74063;40;questionnaire-vlry;;38663298;xsbnwi98;11351986;;complete;;;mobile;undefined K;Android 10;Samsung Browser 25.0;384x824;384x653;Social_Task_Done;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;16056
1;1719880444183;02/07/2024 00:34:04;1719880444063;1;02/07/2024 01:34:04;74063;40;questionnaire-vlry;;38666860;qogkcgd1;11352735;;complete;;;mobile;Apple iPhone;iOS 16.2;Mobile Safari 16.2;428x926;428x746;Space Task Done;;;Consent;4;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;No;1;1;1;1;1;1;1;1;13004
1;1719949125671;02/07/2024 19:38:45;1719949125606;1;02/07/2024 20:38:45;74063;40;questionnaire-vlry;;38705889;8ujo2epq;11360880;;rejected - time limit reached;;;mobile;Apple iPhone;iOS 17.5.1;Mobile Safari 17.5;428x926;428x745;CEQ__cannabis_user_done;;;Consent;4;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;8546
1;1719949683405;02/07/2024 19:48:03;1719949683334;1;02/07/2024 20:48:03;74063;40;questionnaire-vlry;;38706112;alu4vzq6;11360921;;complete;;;mobile;Apple iPhone;iOS 17.5.1;Mobile Safari 17.5;428x926;428x745;Social_Task_Done;;;Consent;4;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;14582
1;1720090565680;04/07/2024 10:56:05;1720090565558;1;04/07/2024 11:56:05;74063;40;questionnaire-vlry;;38749058;13u2sybu;11371374;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 17.4.1;1920x1080;1920x1000;Social_Task_Done;;;Consent;4;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;5412
1;1720112280999;04/07/2024 16:58:00;1720112281320;1;04/07/2024 17:58:01;74063;40;questionnaire-vlry;;38758966;vuhwlzzo;11374042;;complete;;;tablet;undefined K;Android 10;Chrome 126.0.0.0;806x968;806x820;Space Task Done;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;No;1;1;1;1;1;1;1;1;8875
1;1720133436521;04/07/2024 22:50:36;1720133436423;1;04/07/2024 23:50:36;74063;40;questionnaire-vlry;;38762176;wnhor10t;11374956;;rejected - time limit reached;;;mobile;Apple iPhone;iOS 17.4.1;Instagram 338.0.0.23.94;414x896;414x804;CEQ_done_no_cannabis;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;6230
1;1720197387579;05/07/2024 16:36:27;1720197386571;1;05/07/2024 17:36:26;74063;40;questionnaire-vlry;;38777488;77f21d1k;11378686;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 126.0.0.0;1280x720;1280x593;Social_Task_Done;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;5744
1;1720224184395;06/07/2024 00:03:04;1720224184224;1;06/07/2024 01:03:04;74063;40;questionnaire-vlry;;38780934;z0skfzqy;11379758;;rejected - time limit reached;;;mobile;Apple iPhone;iOS 17.5.1;Instagram 332.0.2.29.94;375x812;375x717;CEQ_done_no_cannabis;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;11202
